state_code,district_name
AL,Mobile County Public Schools
AL,Jefferson County Schools
AL,Baldwin County Public Schools
AL,Madison City Schools
AL,Huntsville City Schools
AL,Birmingham City Schools
AL,Montgomery Public Schools
AL,Tuscaloosa City Schools
AL,Shelby County Schools
AL,Auburn City Schools
AK,Anchorage School District
AK,Matanuska-Susitna Borough School District
AK,Fairbanks North Star Borough School District
AK,Kenai Peninsula Borough School District
AK,Juneau School District
AK,Lower Kuskokwim School District
AK,Lower Yukon School District
AK,North Slope Borough School District
AZ,Mesa Public Schools
AZ,Tucson Unified School District
AZ,Chandler Unified School District
AZ,Gilbert Public Schools
AZ,Scottsdale Unified School District
AZ,Peoria Unified School District
AZ,Deer Valley Unified School District
AZ,Paradise Valley Unified School District
AZ,Phoenix Union High School District
AZ,Dysart Unified School District
AZ,Higley Unified School District
AZ,Kyrene School District
AZ,Tempe Union High School District
AR,Little Rock School District
AR,Springdale Public Schools
AR,Bentonville Public Schools
AR,Rogers Public Schools
AR,Fort Smith Public Schools
AR,Pulaski County Special School District
AR,Conway Public Schools
AR,Cabot Public Schools
AR,Fayetteville Public Schools
CA,Los Angeles Unified School District
CA,San Diego Unified School District
CA,Long Beach Unified School District
CA,Fresno Unified School District
CA,Elk Grove Unified School District
CA,San Francisco Unified School District
CA,Capistrano Unified School District
CA,Santa Ana Unified School District
CA,Corona-Norco Unified School District
CA,San Bernardino City Unified School District
CA,Riverside Unified School District
CA,Sacramento City Unified School District
CA,Garden Grove Unified School District
CA,Oakland Unified School District
CA,Clovis Unified School District
CA,San Juan Unified School District
CA,Fremont Unified School District
CA,Moreno Valley Unified School District
CA,Stockton Unified School District
CA,Irvine Unified School District
CA,Chula Vista Elementary School District
CA,Poway Unified School District
CA,Sweetwater Union High School District
CA,Anaheim Union High School District
CA,Pasadena Unified School District
CA,Cupertino Union School District
CA,Palmdale School District
CA,Compton Unified School District
CA,Mt. Diablo Unified School District
CO,Denver Public Schools
CO,Jefferson County Public Schools
CO,Cherry Creek School District
CO,Douglas County School District
CO,Aurora Public Schools
CO,Adams 12 Five Star Schools
CO,Boulder Valley School District
CO,Saint Vrain Valley Schools
CO,Poudre School District
CO,Colorado Springs School District 11
CO,Academy School District 20
CO,Falcon School District 49
CO,Mesa County Valley School District 51
CT,Hartford Public Schools
CT,Bridgeport Public Schools
CT,New Haven Public Schools
CT,Stamford Public Schools
CT,Waterbury Public Schools
CT,Norwalk Public Schools
CT,Greenwich Public Schools
CT,Fairfield Public Schools
CT,Danbury Public Schools
DE,Christina School District
DE,Red Clay Consolidated School District
DE,Brandywine School District
DE,Colonial School District
DE,Indian River School District
DE,Caesar Rodney School District
DE,Capital School District
DE,Appoquinimink School District
DC,District of Columbia Public Schools
FL,Miami-Dade County Public Schools
FL,Broward County Public Schools
FL,Hillsborough County Public Schools
FL,Orange County Public Schools
FL,Palm Beach County School District
FL,Duval County Public Schools
FL,Pinellas County Schools
FL,Polk County Public Schools
FL,Lee County School District
FL,Brevard Public Schools
FL,Pasco County Schools
FL,Volusia County Schools
FL,Seminole County Public Schools
FL,Sarasota County Schools
FL,Collier County Public Schools
FL,Manatee County School District
FL,Marion County Public Schools
FL,Lake County Schools
FL,St. Johns County School District
FL,Osceola County School District
GA,Gwinnett County Public Schools
GA,Cobb County School District
GA,Fulton County Schools
GA,DeKalb County School District
GA,Atlanta Public Schools
GA,Cherokee County School District
GA,Clayton County Public Schools
GA,Forsyth County Schools
GA,Henry County Schools
GA,Houston County School District
GA,Hall County Schools
GA,Paulding County School District
GA,Fayette County Public Schools
GA,Bibb County School District
GA,Richmond County School System
GA,Muscogee County School District
GA,Savannah-Chatham County Public Schools
HI,Hawaii Department of Education
ID,West Ada School District
ID,Boise School District
ID,Nampa School District
ID,Coeur d'Alene School District
ID,Idaho Falls School District
ID,Pocatello-Chubbuck School District
ID,Caldwell School District
ID,Twin Falls School District
ID,Vallivue School District
IL,Chicago Public Schools
IL,Township High School District 214
IL,Elgin School District U-46
IL,Plainfield Community Consolidated School District 202
IL,Indian Prairie School District 204
IL,Naperville Community Unit School District 203
IL,Township High School District 211
IL,Consolidated High School District 230
IL,Rockford Public Schools
IL,Aurora West School District 129
IL,Aurora East School District 131
IL,Wheaton Warrenville School District 200
IL,Glenbrook High School District 225
IL,Schaumburg School District 54
IL,District 87 Bloomington
IL,Lake Park Community High School District 108
IN,Indianapolis Public Schools
IN,Fort Wayne Community Schools
IN,Hamilton Southeastern Schools
IN,Carmel Clay Schools
IN,Evansville Vanderburgh School Corporation
IN,Fishers Public Schools
IN,South Bend Community School Corporation
IN,Wayne Township Metropolitan School District
IN,Lawrence Township Metropolitan School District
IN,Warren Township Metropolitan School District
IN,Pike Township Metropolitan School District
IA,Des Moines Public Schools
IA,Cedar Rapids Community School District
IA,Iowa City Community School District
IA,Davenport Community Schools
IA,Sioux City Community School District
IA,Waukee Community School District
IA,Dubuque Community School District
IA,Ankeny Community School District
IA,Council Bluffs Community School District
IA,West Des Moines Community Schools
KS,Wichita Public Schools
KS,Olathe Public Schools
KS,Shawnee Mission School District
KS,Blue Valley School District
KS,Kansas City Kansas Public Schools
KS,Topeka Public Schools
KS,Lawrence Public Schools
KS,Lee's Summit R-7 School District
KS,Gardner Edgerton School District
KS,Auburn-Washburn USD 437
KY,Jefferson County Public Schools
KY,Fayette County Public Schools
KY,Boone County Schools
KY,Hardin County Schools
KY,Warren County Public Schools
KY,Kenton County School District
KY,Bullitt County Public Schools
KY,Madison County Schools
KY,Daviess County Public Schools
KY,Oldham County Schools
LA,Jefferson Parish Public Schools
LA,East Baton Rouge Parish Schools
LA,Caddo Parish Public Schools
LA,Calcasieu Parish Public Schools
LA,Lafayette Parish School System
LA,St. Tammany Parish Public School System
LA,Orleans Parish School Board
LA,Rapides Parish School District
LA,Ascension Parish Public Schools
LA,Livingston Parish Public Schools
ME,Portland Public Schools
ME,Lewiston Public Schools
ME,Bangor School Department
ME,South Portland Schools
ME,Scarborough Public Schools
ME,Auburn Public Schools
ME,Westbrook Public Schools
ME,Saco Public Schools
MD,Montgomery County Public Schools
MD,Prince George's County Public Schools
MD,Baltimore County Public Schools
MD,Baltimore City Public Schools
MD,Anne Arundel County Public Schools
MD,Howard County Public Schools
MD,Frederick County Public Schools
MD,Harford County Public Schools
MD,Carroll County Public Schools
MD,Charles County Public Schools
MA,Boston Public Schools
MA,Springfield Public Schools
MA,Worcester Public Schools
MA,Lowell Public Schools
MA,Lynn Public Schools
MA,Brockton Public Schools
MA,Newton Public Schools
MA,Cambridge Public Schools
MA,Lawrence Public Schools
MA,Quincy Public Schools
MA,Brookline Public Schools
MA,Framingham Public Schools
MA,Wellesley Public Schools
MI,Detroit Public Schools Community District
MI,Utica Community Schools
MI,Dearborn Public Schools
MI,Plymouth-Canton Community Schools
MI,Walled Lake Consolidated Schools
MI,Ann Arbor Public Schools
MI,Rochester Community Schools
MI,Troy School District
MI,Grand Rapids Public Schools
MI,Livonia Public Schools
MI,Forest Hills Public Schools
MI,Northville Public Schools
MI,Novi Community School District
MI,West Bloomfield School District
MN,Minneapolis Public Schools
MN,Anoka-Hennepin School District
MN,Saint Paul Public Schools
MN,Rosemount-Apple Valley-Eagan School District
MN,Osseo Area Schools
MN,Lakeville Area Schools
MN,Edina Public Schools
MN,Wayzata Public Schools
MN,Hopkins Public Schools
MN,Eden Prairie Schools
MN,Bloomington Public Schools
MN,Stillwater Area Public Schools
MS,Desoto County Schools
MS,Rankin County School District
MS,Jackson Public Schools
MS,Harrison County School District
MS,Madison County Schools
MS,Pearl Public School District
MS,Gulfport School District
MS,Tupelo Public School District
MO,Springfield Public Schools
MO,Saint Louis Public Schools
MO,Rockwood R-VI School District
MO,Park Hill School District
MO,Liberty Public Schools
MO,Lee's Summit R-VII School District
MO,Blue Springs School District
MO,Columbia Public Schools
MO,Francis Howell School District
MO,Fort Zumwalt School District
MT,Billings Public Schools
MT,Missoula County Public Schools
MT,Bozeman Public Schools
MT,Helena Public Schools
MT,Great Falls Public Schools
MT,Kalispell Public Schools
MT,Butte Public Schools
NE,Omaha Public Schools
NE,Lincoln Public Schools
NE,Millard Public Schools
NE,Papillion La Vista Community Schools
NE,Westside Community Schools
NE,Bellevue Public Schools
NE,Elkhorn Public Schools
NE,Grand Island Public Schools
NV,Clark County School District
NV,Washoe County School District
NV,Carson City School District
NV,Lyon County School District
NV,Elko County School District
NV,Douglas County School District
NV,Nye County School District
NH,Manchester School District
NH,Nashua School District
NH,Concord School District
NH,Salem School District
NH,Derry Cooperative School District
NH,Bedford School District
NH,Pinkerton Academy
NJ,Newark Public Schools
NJ,Jersey City Public Schools
NJ,Paterson Public Schools
NJ,Elizabeth Public Schools
NJ,Edison Township Public Schools
NJ,Toms River Regional Schools
NJ,Cherry Hill Public Schools
NJ,Brick Township Public Schools
NJ,Woodbridge Township School District
NJ,Camden City School District
NJ,Trenton Public Schools
NJ,Hamilton Township School District
NJ,Middletown Township Public Schools
NJ,Hoboken Public Schools
NJ,Bayonne Public Schools
NJ,North Bergen School District
NJ,Union City Public Schools
NJ,West New York School District
NJ,Weehawken Public Schools
NJ,Secaucus Public Schools
NJ,Kearny Public Schools
NJ,Harrison Public Schools
NJ,Linden Public Schools
NJ,Plainfield Public Schools
NJ,Westfield Public Schools
NJ,Scotch Plains-Fanwood Regional School District
NJ,Cranford Public Schools
NJ,Roselle Public Schools
NJ,Union Township Public Schools
NJ,Summit Public Schools
NJ,Springfield Township Public Schools
NJ,New Providence Public Schools
NJ,Berkeley Heights Public Schools
NJ,Mountainside Public Schools
NJ,Hillside Public Schools
NJ,Rahway Public Schools
NJ,Clifton Public Schools
NJ,Passaic Public Schools
NJ,Wayne Township Public Schools
NJ,West Milford Township Public Schools
NJ,Pompton Lakes School District
NJ,Hawthorne Public Schools
NJ,Ridgewood Public Schools
NJ,Fort Lee Public Schools
NJ,Hackensack Public Schools
NJ,Englewood Public Schools
NJ,Paramus Public Schools
NJ,Fair Lawn Public Schools
NJ,Teaneck Public Schools
NJ,River Edge Public Schools
NJ,Westwood Regional School District
NJ,Northern Highlands Regional High School District
NJ,Pascack Valley Regional High School District
NJ,Bergenfield Public Schools
NJ,Glen Rock Public Schools
NJ,Mahwah Township Public Schools
NJ,Ramapo Indian Hills Regional High School District
NJ,Closter Public Schools
NJ,Cresskill Public Schools
NJ,Demarest Public Schools
NJ,Tenafly Public Schools
NJ,Northern Valley Regional High School District
NJ,Wyckoff Public Schools
NJ,Franklin Lakes Public Schools
NJ,Ramsey Public Schools
NJ,Allendale Public Schools
NJ,Saddle Brook Public Schools
NJ,Rutherford Public Schools
NJ,Lyndhurst Public Schools
NJ,Garfield Public Schools
NJ,Lodi Public Schools
NJ,Elmwood Park Public Schools
NJ,East Rutherford Public Schools
NJ,North Arlington Public Schools
NJ,Montclair Public Schools
NJ,West Orange Public Schools
NJ,East Orange School District
NJ,Bloomfield Public Schools
NJ,South Orange-Maplewood School District
NJ,Livingston Public Schools
NJ,Millburn Township Public Schools
NJ,Verona Public Schools
NJ,Cedar Grove Public Schools
NJ,Caldwell-West Caldwell Public Schools
NJ,Belleville Public Schools
NJ,Nutley Public Schools
NJ,Glen Ridge Public Schools
NJ,Orange Township School District
NJ,Irvington Public Schools
NJ,Maplewood Township School District
NJ,New Brunswick Public Schools
NJ,Old Bridge Township Public Schools
NJ,Sayreville Public Schools
NJ,Piscataway Township Public Schools
NJ,East Brunswick Public Schools
NJ,North Brunswick Township Public Schools
NJ,South Brunswick Public Schools
NJ,Perth Amboy Public Schools
NJ,Carteret Public Schools
NJ,Highland Park Public Schools
NJ,Metuchen Public Schools
NJ,Monroe Township Public Schools
NJ,South Plainfield Public Schools
NJ,Spotswood Public Schools
NJ,Dunellen Public Schools
NJ,Freehold Regional High School District
NJ,Freehold Township Schools
NJ,Freehold Borough School District
NJ,Marlboro Township Public Schools
NJ,Manalapan-Englishtown Regional School District
NJ,Howell Township Public Schools
NJ,Long Branch Public Schools
NJ,Asbury Park School District
NJ,Neptune Township School District
NJ,Red Bank Regional High School District
NJ,Rumson-Fair Haven Regional High School District
NJ,Holmdel Township Public Schools
NJ,Aberdeen-Matawan Regional Schools
NJ,Hazlet Township Public Schools
NJ,Wall Township Public Schools
NJ,Tinton Falls School District
NJ,Ocean Township School District
NJ,Eatontown Public Schools
NJ,Keansburg School District
NJ,Lakewood Township Public Schools
NJ,Jackson Township School District
NJ,Manchester Township Schools
NJ,Lacey Township School District
NJ,Stafford Township School District
NJ,Berkeley Township School District
NJ,Barnegat Township Schools
NJ,Southern Regional School District
NJ,Central Regional School District
NJ,Point Pleasant Borough Schools
NJ,Point Pleasant Beach School District
NJ,Pinelands Regional School District
NJ,Morris School District
NJ,Parsippany-Troy Hills Schools
NJ,Mount Olive Township Public Schools
NJ,Randolph Township Schools
NJ,Roxbury Township Schools
NJ,West Morris Regional High School District
NJ,Madison Public Schools
NJ,Chatham School District
NJ,Hanover Park Regional High School District
NJ,Mendham Township School District
NJ,Florham Park School District
NJ,East Hanover School District
NJ,Denville Township School District
NJ,Rockaway Borough School District
NJ,Jefferson Township Public Schools
NJ,Burlington Township School District
NJ,Mount Laurel Township Schools
NJ,Lenape Regional High School District
NJ,Cinnaminson Township Schools
NJ,Willingboro Public Schools
NJ,Pemberton Township School District
NJ,Evesham Township Schools
NJ,Medford Township Public Schools
NJ,Moorestown Township Public Schools
NJ,Northern Burlington County Regional School District
NJ,Voorhees Township Public Schools
NJ,Haddonfield Public Schools
NJ,Lindenwold Public Schools
NJ,Pennsauken Public Schools
NJ,Winslow Township School District
NJ,Gloucester Township Public Schools
NJ,Berlin Township School District
NJ,Atlantic City Public Schools
NJ,Hammonton Public Schools
NJ,Galloway Township Public Schools
NJ,Pleasantville Public Schools
NJ,Egg Harbor Township Public Schools
NJ,Mainland Regional High School District
NJ,Greater Egg Harbor Regional School District
NJ,Cape May County Special Services
NJ,Lower Township Elementary School District
NJ,Wildwood Public Schools
NJ,Vineland Public Schools
NJ,Millville Public Schools
NJ,Bridgeton Public Schools
NJ,Cumberland Regional School District
NJ,Washington Township Public Schools
NJ,Deptford Township Public Schools
NJ,Pitman Public Schools
NJ,Glassboro Public Schools
NJ,Clayton Public Schools
NJ,Monroe Township Public Schools (Gloucester)
NJ,Mantua Township School District
NJ,West Deptford School District
NJ,Williamstown Public Schools
NJ,Hunterdon Central Regional High School District
NJ,Flemington-Raritan Regional School District
NJ,Clinton Township School District
NJ,Readington Township School District
NJ,North Hunterdon-Voorhees Regional High School District
NJ,West Windsor-Plainsboro Regional School District
NJ,Lawrence Township Public Schools
NJ,Princeton Public Schools
NJ,Ewing Public Schools
NJ,Robbinsville Public Schools
NJ,East Windsor Regional School District
NJ,Hopewell Valley Regional School District
NJ,Salem City Public Schools
NJ,Pittsgrove Township Public Schools
NJ,Penns Grove-Carneys Point Regional School District
NJ,Bridgewater-Raritan Regional School District
NJ,Hillsborough Township Public Schools
NJ,Bernards Township School District
NJ,Franklin Township Public Schools (Somerset)
NJ,North Plainfield School District
NJ,Watchung Hills Regional High School District
NJ,Somerset Hills Regional School District
NJ,Branchburg Township School District
NJ,Bound Brook Public Schools
NJ,Manville Public Schools
NJ,Somerville Public Schools
NJ,Sparta Township Public Schools
NJ,Vernon Township School District
NJ,Newton Public Schools
NJ,Hopatcong Public Schools
NJ,Kittatinny Regional School District
NJ,High Point Regional High School District
NJ,Warren Hills Regional School District
NJ,Hackettstown School District
NJ,Phillipsburg School District
NJ,Belvidere School District
NM,Albuquerque Public Schools
NM,Las Cruces Public Schools
NM,Rio Rancho Public Schools
NM,Gadsden Independent Schools
NM,Santa Fe Public Schools
NM,Farmington Municipal Schools
NM,Roswell Independent School District
NY,New York City Department of Education
NY,Buffalo Public Schools
NY,Rochester City School District
NY,Yonkers Public Schools
